Tipo de organización comunal;Nombre;Fecha elección;Hora elección;Lugar elección;Comunicación fecha de la elección;Resultado elección;Rol reclamación;Reclamación;Fallo de la reclamación
Organización comunitaria funcional;COMITÉ DE BENEFICIARIOS CECOSF FOLILCO;29-07-2025;14:00:00 HORAS;SEDE CECEOSF;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_96.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_96.pdf;;;
Junta de vecinos;JUNTA DE VECINOS FLOR DEL LAGO;08-03-2025;9:00:00 HORAS;POSTA RURAL FLOR DEL LAGO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_97.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_97.pdf;36-2025;https://transparencia.muniloslagos.cl/documentos/2025/8/244/Resolucion_TER_Los_Rios_ROL_36-2025_.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/SENTENCIA97.pdf
Organización comunitaria funcional;CLUB DE RODEO LOS LAGOS;08-08-2025;19:00 HORAS;SEDE SOCIAL CLUB DE RODEO CHILENO LOS LAGOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_98.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_98.pdf;;;
Organización comunitaria funcional;COMITÉ DE SEGURIDAD CIUDADANA VILLA LOS RIOS;16-08-2025;16:00 HORAS;SEDE JJVV LOS RIOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_99.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_99.pdf;;;
Organización comunitaria funcional;AGUA POTABLE RURAL CHANCO;30-08-2025;10:00 HORAS;SEDE COMUNITARIA CHANCO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_100.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_100.pdf;44-2025;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/RESOLUCIÓN_TER_CAUSA_ROL_44-2025.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/RESOLUCIÓN_TER_CAUSA_ROL_44-2025.pdf
Junta de vecinos;JUNTA DE VECINOS PELLINADA ALTA;23-08-2025;10:00 HORAS;SEDE COMUNITARIA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_101.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_101.pdf;;;
Junta de vecinos;JUNTA DE VECINOS FOLILCO;23-08-2025;09:00 HORAS;SEDE COMUNITARIA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_102.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_102.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE EL SALTO;14-09-2025;10:00 HORAS;SEDE APR;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_103.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_103.pdf;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS ESCUELA ENRIQUE HEVIA LABBE;26-08-2025;10:00 HORAS;ESCUELA ENRIQUE HEVIA LABBE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_104.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_104.pdf;;;
Organización comunitaria funcional;CLUB DE RAYUELA QUINCHILCA;23-08-2025;10:00 HORAS;SEDE RAYUELA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_105.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_105.pdf;;;
Organización comunitaria funcional;CLUB MUSICAL ESMERALDA;23-08-2025;15:00 HORAS;CUARTEL SEGUNDA COMPAÑÍA DE BOMBEROS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_106.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_106.pdf;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS ESCUELA NEVADA;03-09-2025;08:30 HORAS;ESCUELA NEVADDA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_107.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_107.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO EQUIL;04-09-2025;20:00 HORAS;SECTOR EQUIL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_108.pdf;;;;
Junta de vecinos;JUNTA DE VECINOS N°13 R LAS HUELLAS;06-09-2025;10:00 HORAS;SEDE LAS HUELLAS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_109.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_109.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL LIPINGUE;30-08-2025;14:00 HORAS;SEDE COMUNITARIA LIPINGUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_110.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_110.pdf;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS LOS MAITENES;08-09-2025;13:00 HORAS;ESCUELA LOS MAITENES;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_111.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_111.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO TEMSA;10-09-2025;16:00 HORAS;SALA DE REUNIONES TEMSA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_112.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_112.pdf;;;
