Tipo de organización comunal;Nombre;Fecha elección;Hora elección;Lugar elección;Comunicación fecha de la elección;Resultado elección;Rol reclamación;Reclamación;Fallo de la reclamación
Junta de vecinos;JUNTA DE VECINOS VILLA LOS RIOS;29-11-2025;10:00:00 HORAS;SEDE COMUNITARIA VILLA LOS RIOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_161.pdf;;;;
Organización comunitaria funcional;AGRUPACION CULTURAL DE FUNCIONARIOS HOSPITAL LOS LAGOS;26-11-2025;8:00:00 HORAS;HOSPITAL LOS LAGOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_162.pdf;;;;
Organización comunitaria funcional;COMITÉ DE MEJORAMIENTO RIO SAN PEDRO;23-11-2025;12:40:00 HORAS;SEDE CULTURAL VILLA LOS AROMOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_163.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_163.pdf;;;
Organización comunitaria funcional;ADULTO MAYOR VIDA HERMOSA;25-11-2025;10:00:00 HORAS;SEDE UCAM;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_164.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_164.pdf;;;
Organización comunitaria funcional;AGRUPACION DE ADULTO MAYOR EL TREBOL;25-11-2025;10:00:00 HORAS;SEDE SECTOR EL TREBOL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_165.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_165.pdf;;;
Organización comunitaria funcional;CENTRO GENERAL DE PADRES Y APODERADOS JARDIN INFANTIL PASITOS DEL FUTURO;26-11-2025;15:00:00 HORAS;JARDIN INFANTIL PASITOS DEL FUTURO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_166.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_166.pdf;;;
Organización comunitaria funcional;AGRUPACION DE PERSONAS CON DISCAPACIDAD LOS LAGOS;09-12-2025;17:00:00 HORAS;LINCH #42;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_167.pdf;;;;
Organización comunitaria funcional;GUATITA DE DELANTAL LOS LAGOS;06-12-2025;13:00:00 HORAS;SEDE ESTACION;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_168.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_168.pdf;;;
Organización comunitaria funcional;COMITÉ DE SALUD, SALUD Y VIDA SANA;12-12-2025;16:00:00 HORAS;SEDE JJVV HOSPITAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_169.pdf;;;;
Organización comunitaria funcional;AGRUPACION ADULTO MAYOR RIÑIHUE;12-11-2025;15:00:00 HORAS;SEDE SOCIAL RIÑIHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_170.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_170.pdf;;;
Organización comunitaria funcional;COMITÉ DE SALUD USTARITZ;12-12-2025;15:00:00 HORAS;SEDE JJVV USTARITZ;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_171.pdf;;;;
Organización comunitaria funcional;CENTRO DE PADRES Y APODERADOS ESCUELA F 155 ANTILHUE;12-12-2025;09:00:00 HORAS;ESCUELA F-155 ANTILHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_172.pdf;;;;
Junta de vecinos;JUNTA DE VECINOS LLASCAHUE;25-12-2025;14:00:00 HORAS;SEDE COMUNITARIA LLASCAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_173.pdf;;;;
Organización comunitaria funcional;AGRUPACION ADULTOS MAYORES DE MANQUELAF;27-12-2025;17:00:00 HORAS;MANQUELAF;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_174.pdf;;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL PUCARA;28-12-2025;10:00:00 HORAS;SEDE PUCARA;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_175.pdf;;;;
Organización comunitaria funcional;COMITÉ DE ADELANTO PARQUE RIÑIHUE;01-03-2026;10:00:00 HORAS;PARQUE RIÑIHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_176.pdf;;;;
